Wavelength (nm),Intensity
910.9959716796875,166.75
911.5574951171875,175.5
912.1190185546875,162.25
912.680419921875,183.0
913.2418823242188,171.0
913.8031616210938,169.25
914.3645629882812,172.25
914.92578125,165.0
915.487060546875,165.5
916.0482788085938,169.0
916.609375,179.0
917.1704711914062,175.5
917.7314453125,170.0
918.2925415039062,177.25
918.8533935546875,165.5
919.414306640625,167.0
919.97509765625,163.75
920.5360107421875,163.5
921.0967407226562,174.0
921.657470703125,166.25
922.2182006835938,164.0
922.7787475585938,161.75
923.33935546875,163.75
923.8998413085938,177.0
924.4603881835938,174.5
925.020751953125,178.0
925.5811767578125,167.25
926.1414794921875,164.75
926.7017822265625,163.5
927.2621459960938,166.75
927.822265625,171.0
928.3825073242188,165.5
928.9425659179688,172.75
929.5026245117188,174.75
930.0626220703125,170.75
930.6226806640625,167.5
931.1824951171875,173.75
931.742431640625,164.75
932.30224609375,180.25
932.862060546875,161.75
933.4218139648438,172.75
933.9814453125,166.25
934.5411376953125,160.25
935.1007080078125,172.0
935.6603393554688,168.25
936.2197265625,168.75
936.7792358398438,173.5
937.338623046875,175.0
937.8980102539062,161.5
938.4572143554688,166.5
939.0166015625,174.25
939.5758666992188,169.25
940.1349487304688,174.0
940.6941528320312,169.75
941.2531127929688,166.75
941.812255859375,173.0
942.3711547851562,175.5
942.9301147460938,164.5
943.4889526367188,163.75
944.0478515625,182.75
944.6065673828125,160.0
945.1654052734375,170.75
945.7241821289062,163.75
946.28271484375,171.75
946.8414306640625,176.25
947.39990234375,170.0
947.9584350585938,165.75
948.516845703125,179.25
949.0753784179688,174.25
949.6336669921875,168.5
950.1920166015625,176.5
950.750244140625,182.75
951.3085327148438,176.5
951.8667602539062,166.0
952.4248657226562,174.25
952.9829711914062,180.25
953.5409545898438,181.25
954.0989990234375,175.75
954.6568603515625,175.5
955.21484375,160.5
955.7726440429688,169.0
956.3305053710938,171.5
956.88818359375,181.25
957.4459838867188,172.75
958.003662109375,169.75
958.5612182617188,168.0
959.1188354492188,172.25
959.67626953125,171.0
960.2337646484375,170.75
960.7911376953125,176.75
961.3485717773438,181.5
961.9058227539062,171.5
962.463134765625,181.0
963.0204467773438,176.25
963.5775756835938,179.75
964.134765625,170.25
964.6917724609375,185.25
965.2489013671875,171.0
965.8057861328125,179.5
966.36279296875,176.25
966.9196166992188,167.0
967.4765014648438,181.0
968.0332641601562,179.0
968.590087890625,174.75
969.1467895507812,176.0
969.7034301757812,176.0
970.2600708007812,177.5
970.8165893554688,186.5
971.3731079101562,164.25
971.9295654296875,173.0
972.4860229492188,178.0
973.0422973632812,177.25
973.5986328125,165.25
974.1548461914062,182.5
974.7111206054688,180.0
975.2673950195312,165.0
975.8234252929688,180.5
976.3795776367188,174.5
976.935546875,177.75
977.4915771484375,176.0
978.0474243164062,179.0
978.6033325195312,178.75
979.1591186523438,176.75
979.7149658203125,169.25
980.2706298828125,176.5
980.826416015625,169.0
981.3821411132812,170.75
981.9376220703125,172.75
982.4932250976562,180.5
983.0486450195312,177.25
983.6041259765625,176.5
984.1594848632812,175.25
984.7149047851562,178.25
985.2701416015625,186.75
985.8253784179688,181.5
986.3805541992188,184.25
986.935791015625,174.5
987.4909057617188,181.5
988.0459594726562,177.75
988.6010131835938,178.25
989.1558837890625,178.0
989.7108154296875,182.25
990.265625,179.25
990.820556640625,173.75
991.375244140625,175.0
991.9299926757812,173.5
992.484619140625,185.5
993.0392456054688,171.0
993.5939331054688,179.25
994.1483764648438,176.5
994.702880859375,188.25
995.2572021484375,182.25
995.8117065429688,179.5
996.365966796875,170.0
996.9202270507812,184.75
997.4744262695312,176.5
998.0286254882812,178.0
998.5828247070312,175.75
999.1368408203125,185.5
999.69091796875,180.75
1000.2448120117188,177.25
1000.798828125,177.0
1001.3526611328125,164.25
1001.9065551757812,165.25
1002.4602661132812,166.75
1003.0140380859375,186.0
1003.567626953125,183.5
1004.121337890625,177.0
1004.6749877929688,167.5
1005.2284545898438,173.75
1005.7820434570312,174.0
1006.3353881835938,183.75
1006.8888549804688,178.5
1007.442138671875,173.75
1007.9954833984375,177.75
1008.5486450195312,170.5
1009.1018676757812,174.25
1009.6549682617188,168.75
1010.2081298828125,177.75
1010.76123046875,171.75
1011.3141479492188,178.75
1011.8671264648438,172.0
1012.4199829101562,183.25
1012.9728393554688,163.25
1013.525634765625,173.25
1014.0784301757812,178.75
1014.6310424804688,181.0
1015.1837768554688,166.5
1015.736328125,163.0
1016.2888793945312,170.0
1016.8414306640625,173.25
1017.393798828125,172.5
1017.9462280273438,168.75
